event_id,impd,date,daytype,month,year,totangs
109862,HISB,1999-03-03,weekday,3,1999,0
100256,CGSB,1999-03-07,weekend,3,1999,0
109863,HISB,1999-03-07,weekend,3,1999,1
100263,CGSB,1999-03-12,weekday,3,1999,3
109868,HISB,1999-03-12,weekday,3,1999,4
100264,CGSB,1999-03-13,weekend,3,1999,4
109869,HISB,1999-03-13,weekend,3,1999,8
100257,CGSB,1999-03-14,weekend,3,1999,2
100258,CGSB,1999-03-16,weekday,3,1999,4
109870,HISB,1999-03-16,weekday,3,1999,4
100265,CGSB,1999-03-21,weekend,3,1999,9
109871,HISB,1999-03-21,weekend,3,1999,22
100260,CGSB,1999-03-22,weekday,3,1999,4
109865,HISB,1999-03-22,weekday,3,1999,2
100266,CGSB,1999-03-23,weekday,3,1999,7
109872,HISB,1999-03-23,weekday,3,1999,1
100261,CGSB,1999-03-27,weekend,3,1999,0
109866,HISB,1999-03-27,weekend,3,1999,6
100262,CGSB,1999-03-28,weekend,3,1999,5
109867,HISB,1999-03-28,weekend,3,1999,17
100259,CGSB,1999-03-30,weekday,3,1999,0
109864,HISB,1999-03-30,weekday,3,1999,3
100273,CGSB,1999-04-02,weekday,4,1999,0
109879,HISB,1999-04-02,weekday,4,1999,8
100279,CGSB,1999-04-03,weekend,4,1999,1
100274,CGSB,1999-04-03,weekend,4,1999,2
109885,HISB,1999-04-03,weekend,4,1999,22
109880,HISB,1999-04-03,weekend,4,1999,20
100275,CGSB,1999-04-05,weekday,4,1999,3
109881,HISB,1999-04-05,weekday,4,1999,8
100280,CGSB,1999-04-06,weekday,4,1999,2
109886,HISB,1999-04-06,weekday,4,1999,0
100267,CGSB,1999-04-10,weekend,4,1999,4
109873,HISB,1999-04-10,weekend,4,1999,0
100276,CGSB,1999-04-11,weekend,4,1999,4
100268,CGSB,1999-04-11,weekend,4,1999,0
109882,HISB,1999-04-11,weekend,4,1999,18
109874,HISB,1999-04-11,weekend,4,1999,8
100269,CGSB,1999-04-13,weekday,4,1999,7
109875,HISB,1999-04-13,weekday,4,1999,1
100281,CGSB,1999-04-16,weekday,4,1999,0
109887,HISB,1999-04-16,weekday,4,1999,5
100282,CGSB,1999-04-17,weekend,4,1999,4
109888,HISB,1999-04-17,weekend,4,1999,0
100283,CGSB,1999-04-18,weekend,4,1999,4
109889,HISB,1999-04-18,weekend,4,1999,9
100270,CGSB,1999-04-22,weekday,4,1999,5
109876,HISB,1999-04-22,weekday,4,1999,2
100284,CGSB,1999-04-23,weekday,4,1999,5
109890,HISB,1999-04-23,weekday,4,1999,7
100271,CGSB,1999-04-24,weekend,4,1999,6
109877,HISB,1999-04-24,weekend,4,1999,5
100277,CGSB,1999-04-25,weekend,4,1999,8
