impd,date,month,year,cfs
CLSB,2003-03-01,3,2003,5
CLSB,2003-03-02,3,2003,5
CLSB,2003-03-03,3,2003,4
CLSB,2003-03-04,3,2003,4
CLSB,2003-03-05,3,2003,4
CLSB,2003-03-06,3,2003,5
CLSB,2003-03-07,3,2003,6
CLSB,2003-03-08,3,2003,4
CLSB,2003-03-09,3,2003,3
CLSB,2003-03-10,3,2003,2
CLSB,2003-03-11,3,2003,2
CLSB,2003-03-12,3,2003,49
CLSB,2003-03-13,3,2003,59
CLSB,2003-03-14,3,2003,11
CLSB,2003-03-15,3,2003,6
CLSB,2003-03-16,3,2003,3
CLSB,2003-03-17,3,2003,3
CLSB,2003-03-18,3,2003,3
CLSB,2003-03-19,3,2003,7
CLSB,2003-03-20,3,2003,14
CLSB,2003-03-21,3,2003,6
CLSB,2003-03-22,3,2003,5
CLSB,2003-03-23,3,2003,6
CLSB,2003-03-24,3,2003,5
CLSB,2003-03-25,3,2003,5
CLSB,2003-03-26,3,2003,6
CLSB,2003-03-27,3,2003,5
CLSB,2003-03-28,3,2003,6
CLSB,2003-03-29,3,2003,6
CLSB,2003-03-30,3,2003,6
CLSB,2003-03-31,3,2003,5
CLSB,2003-04-01,4,2003,5
CLSB,2003-04-02,4,2003,11
CLSB,2003-04-03,4,2003,26
CLSB,2003-04-04,4,2003,26
CLSB,2003-04-05,4,2003,27
CLSB,2003-04-06,4,2003,34
CLSB,2003-04-07,4,2003,27
CLSB,2003-04-08,4,2003,26
CLSB,2003-04-09,4,2003,26
CLSB,2003-04-10,4,2003,26
CLSB,2003-04-11,4,2003,26
CLSB,2003-04-12,4,2003,54
CLSB,2003-04-13,4,2003,118
CLSB,2003-04-14,4,2003,75
CLSB,2003-04-15,4,2003,12
CLSB,2003-04-16,4,2003,25
CLSB,2003-04-17,4,2003,24
CLSB,2003-04-18,4,2003,24
CLSB,2003-04-19,4,2003,232
CLSB,2003-04-20,4,2003,106
CLSB,2003-04-21,4,2003,48
CLSB,2003-04-22,4,2003,37
CLSB,2003-04-23,4,2003,71
CLSB,2003-04-24,4,2003,156
CLSB,2003-04-25,4,2003,111
CLSB,2003-04-26,4,2003,57
CLSB,2003-04-27,4,2003,41
CLSB,2003-04-28,4,2003,34
CLSB,2003-04-29,4,2003,31
CLSB,2003-04-30,4,2003,30
