agency,site,date,year,impd,cfs,id
USGS,06891500,2003-03-01,2003,CLSB,4.7,CLSB2003
USGS,06891500,2003-03-02,2003,CLSB,5.2,CLSB2003
USGS,06891500,2003-03-03,2003,CLSB,4.5,CLSB2003
USGS,06891500,2003-03-04,2003,CLSB,4.2,CLSB2003
USGS,06891500,2003-03-05,2003,CLSB,4.2,CLSB2003
USGS,06891500,2003-03-06,2003,CLSB,5.1,CLSB2003
USGS,06891500,2003-03-07,2003,CLSB,6.3,CLSB2003
USGS,06891500,2003-03-08,2003,CLSB,4.5,CLSB2003
USGS,06891500,2003-03-09,2003,CLSB,3.3,CLSB2003
USGS,06891500,2003-03-10,2003,CLSB,2.3,CLSB2003
USGS,06891500,2003-03-11,2003,CLSB,2,CLSB2003
USGS,06891500,2003-03-12,2003,CLSB,49,CLSB2003
USGS,06891500,2003-03-13,2003,CLSB,59,CLSB2003
USGS,06891500,2003-03-14,2003,CLSB,11,CLSB2003
USGS,06891500,2003-03-15,2003,CLSB,5.5,CLSB2003
USGS,06891500,2003-03-16,2003,CLSB,3.2,CLSB2003
USGS,06891500,2003-03-17,2003,CLSB,2.8,CLSB2003
USGS,06891500,2003-03-18,2003,CLSB,2.7,CLSB2003
USGS,06891500,2003-03-19,2003,CLSB,7.1,CLSB2003
USGS,06891500,2003-03-20,2003,CLSB,14,CLSB2003
USGS,06891500,2003-03-21,2003,CLSB,6.3,CLSB2003
USGS,06891500,2003-03-22,2003,CLSB,5.4,CLSB2003
USGS,06891500,2003-03-23,2003,CLSB,5.8,CLSB2003
USGS,06891500,2003-03-24,2003,CLSB,4.6,CLSB2003
USGS,06891500,2003-03-25,2003,CLSB,4.7,CLSB2003
USGS,06891500,2003-03-26,2003,CLSB,5.6,CLSB2003
USGS,06891500,2003-03-27,2003,CLSB,5.3,CLSB2003
USGS,06891500,2003-03-28,2003,CLSB,6.2,CLSB2003
USGS,06891500,2003-03-29,2003,CLSB,5.9,CLSB2003
