interview_id,impoundment_code,boat_or_shore,hours_fishing,preferred_species,event_id,sample_date,age_count,angler_gender,angler_age
132738,RFFA,1,1.5,Catfish,141965,4/27/2024,2,M,16-64
132737,RFFA,1,4,Catfish,141965,4/27/2024,1,M,65-74
132736,RFFA,1,0.5,Catfish,141965,4/27/2024,1,M,16-64
132734,RFFA,1,1,Flathead Catfish,141963,5/20/2024,1,M,16-64
132734,RFFA,1,1,Flathead Catfish,141963,5/20/2024,1,M,65-74
132734,RFFA,1,1,Flathead Catfish,141963,5/20/2024,1,M,<16
132733,RFFA,1,1.5,Catfish,141963,5/20/2024,1,F,65-74
132732,RFFA,1,2,Saugeye,141963,5/20/2024,1,F,16-64
132732,RFFA,1,2,Saugeye,141963,5/20/2024,1,M,16-64
132732,RFFA,1,2,Saugeye,141963,5/20/2024,1,M,<16
132731,RFFA,1,1.5,Saugeye,141963,5/20/2024,1,M,16-64
132731,RFFA,1,1.5,Saugeye,141963,5/20/2024,1,M,<16
132726,RFFA,1,1,Blue Catfish,141961,5/25/2024,1,F,16-64
132726,RFFA,1,1,Blue Catfish,141961,5/25/2024,1,M,16-64
132726,RFFA,1,1,Blue Catfish,141961,5/25/2024,1,M,65-74
132725,RFFA,1,2,Catfish,141961,5/25/2024,1,M,16-64
132625,RFFA,1,1,Catfish,141938,5/29/2024,1,F,16-64
132625,RFFA,1,1,Catfish,141938,5/29/2024,1,M,16-64
132622,RFFA,1,1.5,Blue Catfish,141937,5/30/2024,1,F,16-64
132622,RFFA,1,1.5,Blue Catfish,141937,5/30/2024,2,M,16-64
132621,RFFA,1,2,Saugeye,141937,5/30/2024,1,M,65-74
132620,RFFA,1,1,Saugeye,141937,5/30/2024,2,M,16-64
132613,RFFA,1,1.5,Saugeye,141934,5/31/2024,1,M,16-64
132612,RFFA,1,2,Wiper - W x S Bass,141934,5/31/2024,2,M,16-64
132611,RFFA,1,1,White Crappie,141934,5/31/2024,1,M,65-74
132611,RFFA,1,1,White Crappie,141934,5/31/2024,1,M,<16
132610,RFFA,1,1.5,Catfish,141934,5/31/2024,1,F,16-64
132610,RFFA,1,1.5,Catfish,141934,5/31/2024,1,M,16-64
132610,RFFA,1,1.5,Catfish,141934,5/31/2024,1,M,<16
132609,RFFA,1,3,Catfish,141933,5/26/2024,1,M,16-64
132608,RFFA,1,1,White Crappie,141933,5/26/2024,1,F,65-74
132608,RFFA,1,1,White Crappie,141933,5/26/2024,1,M,65-74
132607,RFFA,1,2,Saugeye,141933,5/26/2024,1,F,16-64
132607,RFFA,1,2,Saugeye,141933,5/26/2024,1,M,16-64
132607,RFFA,1,2,Saugeye,141933,5/26/2024,2,M,<16
132606,RFFA,1,1.5,White Crappie,141933,5/26/2024,3,M,16-64
132605,RFFA,1,1.5,Catfish,141933,5/26/2024,1,M,16-64
132604,RFFA,1,2,Wiper - W x S Bass,141933,5/26/2024,1,F,16-64
132604,RFFA,1,2,Wiper - W x S Bass,141933,5/26/2024,1,M,16-64
132604,RFFA,1,2,Wiper - W x S Bass,141933,5/26/2024,1,M,<16
132603,RFFA,1,2,Catfish,141933,5/26/2024,1,M,<16
132593,RFFA,1,1.5,Catfish,141931,5/28/2024,1,M,16-64
132592,RFFA,1,2,Saugeye,141931,5/28/2024,1,M,65-74
132591,RFFA,1,1,Catfish,141930,6/1/2024,1,F,16-64
132591,RFFA,1,1,Catfish,141930,6/1/2024,1,F,<16
132591,RFFA,1,1,Catfish,141930,6/1/2024,1,M,16-64
132591,RFFA,1,1,Catfish,141930,6/1/2024,1,M,<16
132590,RFFA,1,2,Saugeye,141930,6/1/2024,1,M,65-74
132589,RFFA,1,1.5,Flathead Catfish,141930,6/1/2024,1,M,16-64
132588,RFFA,1,1.5,White Crappie,141930,6/1/2024,2,M,16-64
132587,RFFA,1,1,Blue Catfish,141930,6/1/2024,1,F,<16
132587,RFFA,1,1,Blue Catfish,141930,6/1/2024,1,M,16-64
132587,RFFA,1,1,Blue Catfish,141930,6/1/2024,1,M,<16
